timestamp_unix,timestamp_polar_ns,sample_index,x_mg,y_mg,z_mg,vm_mg
1778657088.141857,599616050697386618,0,-1036.0,-94.0,-119.0,1047.04
1778657088.181857,599616050737386618,0,-1016.0,-105.0,-117.0,1028.09
1778657088.221857,599616050777386618,0,-1009.0,-85.0,-91.0,1016.65
1778657088.261857,599616050817386618,0,-996.0,-87.0,-92.0,1004.02
1778657088.301857,599616050857386618,0,-1010.0,-125.0,-128.0,1025.72
1778657088.341857,599616050897386618,0,-1016.0,-102.0,-97.0,1025.7
1778657088.381857,599616050937386618,0,-1020.0,-77.0,-115.0,1029.35
1778657088.421857,599616050977386618,0,-1007.0,-126.0,-173.0,1029.49
1778657088.461857,599616051017386618,0,-1015.0,-135.0,-177.0,1039.12
1778657088.501857,599616051057386618,0,-1008.0,-160.0,-169.0,1034.52
1778657088.541857,599616051097386618,0,-978.0,-155.0,-136.0,999.5
1778657088.581857,599616051137386618,0,-1188.0,-203.0,-305.0,1243.21
1778657088.621857,599616051177386618,0,-896.0,185.0,-3.0,914.9
1778657088.661857,599616051217386618,0,-831.0,-78.0,-17.0,834.83
1778657088.701857,599616051257386618,0,-1082.0,-142.0,-47.0,1092.29
1778657088.741857,599616051297386618,0,-1117.0,-206.0,-239.0,1160.71
1778657088.781857,599616051337386618,0,-1037.0,-104.0,-306.0,1086.2
1778657088.821857,599616051377386618,0,-996.0,-145.0,-279.0,1044.45
1778657088.861857,599616051417386618,0,-842.0,-111.0,-180.0,868.15
1778657088.901857,599616051457386618,0,-1188.0,-5.0,-780.0,1421.19
1778657088.941857,599616051497386618,0,-770.0,-316.0,779.0,1140.0
1778657088.981857,599616051537386618,0,-1027.0,-101.0,-649.0,1219.07
1778657089.021857,599616051577386618,0,-769.0,-415.0,-51.0,875.32
1778657089.061857,599616051617386618,0,-1010.0,-307.0,-153.0,1066.66
1778657089.101857,599616051657386618,0,-1100.0,-168.0,-173.0,1126.12
1778657089.141857,599616051697386618,0,-966.0,-233.0,-7.0,993.73
1778657089.181857,599616051737386618,0,-1001.0,-229.0,-21.0,1027.07
1778657089.221857,599616051777386618,0,-1074.0,-95.0,89.0,1081.86
1778657089.261857,599616051817386618,0,-1020.0,38.0,65.0,1022.78
1778657089.301857,599616051857386618,0,-1011.0,-10.0,123.0,1018.5
1778657089.341857,599616051897386618,0,-1016.0,-115.0,60.0,1024.25
1778657089.381857,599616051937386618,0,-1014.0,-116.0,58.0,1022.26
1778657089.421857,599616051977386618,0,-1044.0,-121.0,67.0,1053.12
1778657089.461857,599616052017386618,0,-1018.0,-107.0,89.0,1027.47
1778657089.501857,599616052057386618,0,-1012.0,-120.0,63.0,1021.04
1778657089.541857,599616052097386618,0,-1015.0,-83.0,73.0,1021.0
1778657089.578557,599616052118457282,36,-1008.0,-34.0,116.0,1015.22
1778657089.618558,599616052158457282,36,-1018.0,-4.0,66.0,1020.15
1778657089.658558,599616052198457282,36,-1015.0,-28.0,87.0,1019.11
