timestamp_unix,timestamp_polar_ns,sample_index,ecg_uv
1778658143.936624,599617105595941506,0,-577
1778658143.944316,599617105603633813,0,-456
1778658143.952009,599617105611326120,0,-240
1778658143.959701,599617105619018427,0,-202
1778658143.967393,599617105626710734,0,-187
1778658143.975085,599617105634403041,0,-161
1778658143.982778,599617105642095348,0,-161
1778658143.990470,599617105649787655,0,-151
1778658143.998163,599617105657479962,0,-139
1778658144.005855,599617105665172269,0,-144
1778658144.013547,599617105672864576,0,-139
1778658144.021240,599617105680556883,0,-122
1778658144.028932,599617105688249190,0,-129
1778658144.036624,599617105695941497,0,-134
1778658144.044316,599617105703633804,0,-120
1778658144.052009,599617105711326111,0,-117
1778658144.059701,599617105719018418,0,-122
1778658144.067393,599617105726710725,0,-113
1778658144.075086,599617105734403032,0,-103
1778658144.082778,599617105742095339,0,-101
1778658144.090470,599617105749787646,0,-88
1778658144.098162,599617105757479953,0,-67
1778658144.105855,599617105765172260,0,-60
1778658144.113547,599617105772864567,0,-67
1778658144.121239,599617105780556874,0,-52
1778658144.128932,599617105788249181,0,-28
1778658144.136624,599617105795941488,0,-16
1778658144.144316,599617105803633795,0,2
1778658144.152009,599617105811326102,0,24
1778658144.159701,599617105819018409,0,33
1778658144.167393,599617105826710716,0,40
1778658144.175086,599617105834403023,0,48
1778658144.182778,599617105842095330,0,57
1778658144.190470,599617105849787637,0,67
1778658144.198163,599617105857479944,0,55
1778658144.205855,599617105865172251,0,38
1778658144.213547,599617105872864558,0,12
1778658144.221239,599617105880556865,0,-45
1778658144.228932,599617105888249172,0,-101
1778658144.236624,599617105895941479,0,-137
1778658144.244316,599617105903633786,0,-180
1778658144.252009,599617105911326093,0,-211
1778658144.259701,599617105919018400,0,-223
1778658144.267393,599617105926710707,0,-242
1778658144.275085,599617105934403014,0,-266
1778658144.282778,599617105942095321,0,-271
1778658144.290470,599617105949787628,0,-281
1778658144.298162,599617105957479935,0,-290
1778658144.305855,599617105965172242,0,-276
1778658144.313547,599617105972864549,0,-252
1778658144.321239,599617105980556856,0,-240
1778658144.328932,599617105988249163,0,-235
1778658144.336624,599617105995941470,0,-230
1778658144.344316,599617106003633777,0,-226
1778658144.352009,599617106011326084,0,-214
1778658144.359701,599617106019018391,0,-202
1778658144.367393,599617106026710698,0,-197
1778658144.375086,599617106034403005,0,-189
1778658144.382778,599617106042095312,0,-175
1778658144.390470,599617106049787619,0,-168
1778658144.398162,599617106057479926,0,-170
1778658144.405855,599617106065172233,0,-170
1778658144.413547,599617106072864540,0,-170
1778658144.421239,599617106080556847,0,-161
1778658144.428932,599617106088249154,0,-146
1778658144.436624,599617106095941461,0,-156
1778658144.444316,599617106103633768,0,-170
1778658144.452009,599617106111326075,0,-156
1778658144.459701,599617106119018382,0,-149
1778658144.467393,599617106126710689,0,-161
1778658144.475085,599617106134402996,0,-149
1778658144.482778,599617106142095303,0,-127
1778658144.490470,599617106149787610,0,-132
1778658144.477459,599617106157248906,73,-141
1778658144.485151,599617106164941213,73,-144
1778658144.492844,599617106172633520,73,-151
1778658144.500536,599617106180325827,73,-156
1778658144.508228,599617106188018134,73,-146
1778658144.515920,599617106195710441,73,-127
1778658144.523613,599617106203402748,73,-122
1778658144.531305,599617106211095055,73,-141
1778658144.538997,599617106218787362,73,-141
1778658144.546690,599617106226479669,73,-127
1778658144.554382,599617106234171976,73,-141
1778658144.562074,599617106241864283,73,-134
1778658144.569767,599617106249556590,73,-113
1778658144.577459,599617106257248897,73,-125
1778658144.585151,599617106264941204,73,-139
1778658144.592844,599617106272633511,73,-127
1778658144.600536,599617106280325818,73,-125
1778658144.608228,599617106288018125,73,-117
1778658144.615921,599617106295710432,73,-113
1778658144.623613,599617106303402739,73,-134
1778658144.631305,599617106311095046,73,-151
1778658144.638997,599617106318787353,73,-134
1778658144.646690,599617106326479660,73,-120
1778658144.654382,599617106334171967,73,-122
1778658144.662074,599617106341864274,73,-113
1778658144.669767,599617106349556581,73,-103
1778658144.677459,599617106357248888,73,-110
1778658144.685151,599617106364941195,73,-120
1778658144.692843,599617106372633502,73,-122
1778658144.700536,599617106380325809,73,-115
1778658144.708228,599617106388018116,73,-110
1778658144.715920,599617106395710423,73,-120
1778658144.723613,599617106403402730,73,-125
1778658144.731305,599617106411095037,73,-103
1778658144.738997,599617106418787344,73,-76
1778658144.746690,599617106426479651,73,-84
1778658144.754382,599617106434171958,73,-101
1778658144.762074,599617106441864265,73,-101
1778658144.769767,599617106449556572,73,-101
1778658144.777459,599617106457248879,73,-101
1778658144.785151,599617106464941186,73,-108
1778658144.792844,599617106472633493,73,-127
